Picard 
n:     x:               residuum:        estymator: 
  1    2.4979174e-03    2.4979174e-03    1.9750208e-01  
  2    3.8997440e-07    3.8997440e-07    2.4975274e-03  
  3    9.5050018e-15    9.5050018e-15    3.8997439e-07  
  4    5.6465662e-30    5.6465662e-30    9.5050018e-15  
Metoda bisekcji 
n:     x:               residuum:        estymator: 
  1    5.0000000e-01    4.8445621e-01    9.5000000e+00  
  2  - 4.2500000e+00    5.0131332e+00    4.7500000e+00  
  3  - 1.8750000e+00    2.0790975e+00    2.3750000e+00  
  4  - 6.8750000e-01    7.1675127e-01    1.1875000e+00  
  5  - 9.3750000e-02    9.4299216e-02    5.9375000e-01  
  6    2.0312500e-01    2.0054848e-01    2.9687500e-01  
  7    5.4687500e-02    5.4500591e-02    1.4843750e-01  
  8  - 1.9531250e-02    1.9555092e-02    7.4218750e-02  
  9    1.7578125e-02    1.7558813e-02    3.7109375e-02  
 10  - 9.7656250e-04    9.7662210e-04    1.8554688e-02  
 11    8.3007812e-03    8.2964748e-03    9.2773438e-03  
 12    3.6621094e-03    3.6612712e-03    4.6386719e-03  
 13    1.3427734e-03    1.3426607e-03    2.3193359e-03  
 14    1.8310547e-04    1.8310337e-04    1.1596680e-03  
 15  - 3.9672852e-04    3.9673835e-04    5.7983398e-04  
 16  - 1.0681152e-04    1.0681224e-04    2.8991699e-04  
 17    3.8146973e-05    3.8146882e-05    1.4495850e-04  
 18  - 3.4332275e-05    3.4332349e-05    7.2479248e-05  
 19    1.9073486e-06    1.9073484e-06    3.6239624e-05  
 20  - 1.6212463e-05    1.6212480e-05    1.8119812e-05  
 21  - 7.1525574e-06    7.1525606e-06    9.0599060e-06  
 22  - 2.6226044e-06    2.6226048e-06    4.5299530e-06  
 23  - 3.5762787e-07    3.5762788e-07    2.2649765e-06  
 24    7.7486038e-07    7.7486034e-07    1.1324883e-06  
 25    2.0861626e-07    2.0861625e-07    5.6624413e-07  
 26  - 7.4505806e-08    7.4505806e-08    2.8312206e-07  
 27    6.7055225e-08    6.7055225e-08    1.4156103e-07  
 28  - 3.7252903e-09    3.7252903e-09    7.0780516e-08  
 29    3.1664968e-08    3.1664967e-08    3.5390258e-08  
 30    1.3969839e-08    1.3969839e-08    1.7695129e-08  
 31    5.1222742e-09    5.1222742e-09    8.8475645e-09  
 32    6.9849193e-10    6.9849193e-10    4.4237822e-09  
 33  - 1.5133992e-09    1.5133992e-09    2.2118911e-09  
 34  - 4.0745363e-10    4.0745363e-10    1.1059456e-09  
 35    1.4551915e-10    1.4551915e-10    5.5297278e-10  
 36  - 1.3096724e-10    1.3096724e-10    2.7648639e-10  
 37    7.2759576e-12    7.2759576e-12    1.3824319e-10  
 38  - 6.1845640e-11    6.1845640e-11    6.9121597e-11  
 39  - 2.7284841e-11    2.7284841e-11    3.4560799e-11  
 40  - 1.0004442e-11    1.0004442e-11    1.7280399e-11  
 41  - 1.3642421e-12    1.3642421e-12    8.6401997e-12  
 42    2.9558578e-12    2.9558578e-12    4.3200998e-12  
 43    7.9580786e-13    7.9580786e-13    2.1600499e-12  
 44  - 2.8421709e-13    2.8421709e-13    1.0800250e-12  
 45    2.5579538e-13    2.5579538e-13    5.4001248e-13  
 46  - 1.4210855e-14    1.4210855e-14    2.7000624e-13  
 47    1.2079227e-13    1.2079227e-13    1.3500312e-13  
 48    5.3290705e-14    5.3290705e-14    6.7501560e-14  
 49    1.9539925e-14    1.9539925e-14    3.3750780e-14  
 50    2.6645353e-15    2.6645353e-15    1.6875390e-14  
